contract,openMarginRate,closeMarginRate,margin,isMainContract
sc2803,0.22,0.22,123750.0,0
sc2806,0.22,0.22,123200.0,0
sc2809,0.22,0.22,122100.0,0
sc2812,0.22,0.22,120582.0,0
sc2903,0.22,0.22,121110.0,0
IC2606,0.12,0.12,199843.0,1
IC2609,0.12,0.12,196003.2,0
IF2606,0.12,0.12,170748.0,1
IF2609,0.12,0.12,168033.6,0
IH2606,0.12,0.12,104536.8,1
IH2609,0.12,0.12,103248.0,0
IM2606,0.12,0.12,202516.8,1
IM2609,0.12,0.12,197592.0,0
T2606,0.02,0.02,21796.0,1
T2609,0.02,0.02,21748.0,0
T2612,0.02,0.02,21724.0,0
TF2606,0.012,0.012,12778.8,1
TF2609,0.012,0.012,12738.0,0
TF2612,0.012,0.012,12727.2,0
TL2606,0.035,0.035,39592.0,1
TL2609,0.035,0.035,39476.5,0
TL2612,0.035,0.035,39459.0,0
TS2606,0.005,0.005,10266.0,1
TS2609,0.005,0.005,10257.0,0
TS2612,0.005,0.005,10253.0,0
